step,loss
64,0.00214526429772377
68,0.0017382664373144507
72,0.0013462097849696875
76,0.0009486956987529993
80,0.0006040717707946897
84,0.00039707025280222297
88,0.00019208778394386172
92,8.544570300728083e-05
96,5.0450988055672497e-05
100,5.835022238898091e-05
104,0.0001230041089002043
108,0.00015123879711609334
112,0.0001912367151817307
116,0.0001617329107830301
120,0.00011981943680439144
124,8.557619003113359e-05
128,5.751700882683508e-05
132,3.4926135413115844e-05
136,3.081575414398685e-05
140,3.399383058422245e-05
144,4.836183143197559e-05
148,4.999231532565318e-05
152,4.906614049104974e-05
156,6.373074575094506e-05
160,4.755496047437191e-05
164,4.867063034907915e-05
168,4.896811515209265e-05
172,3.174009543727152e-05
176,2.5214007109752856e-05
180,1.97312419913942e-05
184,1.4062235095479991e-05
188,1.7247861251235008e-05
192,1.2874393178208265e-05
196,1.2144883839937393e-05
200,1.2439967576938216e-05
204,1.529615474282764e-05
208,1.5005036402726546e-05
212,1.0531565749261063e-05
216,1.4065303730603773e-05
220,1.2108031114621554e-05
224,1.2314327250351198e-05
228,9.870726898952853e-06
232,9.508477887720801e-06
236,8.890518074622378e-06
240,7.775861377012916e-06
244,9.714470252220053e-06
248,5.409237019193824e-06
252,7.0032451731094625e-06
256,6.8426361394813284e-06
260,6.469333584391279e-06
264,5.7339198065164965e-06
268,4.22736184191308e-06
272,3.623639713623561e-06
276,3.962402843171731e-06
280,5.527194844034966e-06
284,4.044093202537624e-06
288,5.128693828737596e-06
292,4.423189238877967e-06
296,2.6445345611136872e-06
300,4.265952611604007e-06
304,2.889338929890073e-06
308,4.596320650307462e-06
312,3.2122948141477536e-06
316,3.6296419239079114e-06
320,4.452692337508779e-06
324,4.574467766360613e-06
328,2.16858120438701e-06
332,3.0807598250248702e-06
336,3.340241846672143e-06
340,2.9314819585124496e-06
344,2.312547167093726e-06
348,3.3780650028347736e-06
352,2.939583737315843e-06
356,1.8374906858298345e-06
360,2.1895473309996305e-06
364,2.872548748200643e-06
368,1.7019077631630353e-06
372,2.4062965167104267e-06
376,2.299581865372602e-06
380,2.3194388631964102e-06
384,2.1076525626995135e-06
388,2.653369165273034e-06
392,1.9686456198542146e-06
396,1.8784789972414728e-06
400,2.2446020011557266e-06
404,1.3172609669709345e-06
408,2.5651079340605065e-06
412,2.7040564418712165e-06
416,1.3761939499090659e-06
420,1.6676975747031975e-06
424,2.7466339815873653e-06
428,1.8039281712844968e-06
432,2.4902401491999626e-06
436,1.237073888660234e-06
440,1.6949932160059689e-06
444,1.6286617210425902e-06
448,1.686279119894607e-06
452,1.9822937247226946e-06
456,1.5137422906263964e-06
460,2.2385072497854708e-06
464,1.7361687696393346e-06
468,2.5328631636512e-06
472,1.8679880895433598e-06
476,1.6430028608738212e-06
480,1.710990659375966e-06
484,1.2237770761203137e-06
488,1.902538315334823e-06
492,1.8987294652106357e-06
496,2.2883784822624875e-06
500,1.5943606967994128e-06
504,2.3525087726739002e-06
508,1.5829518815735355e-06
512,1.862883664216497e-06
516,4.053332759212935e-06
520,9.121868970396463e-06
524,9.08655874809483e-06
528,3.0102223718131427e-06
532,6.635539193666773e-06
536,1.2262755262781866e-05
540,6.3067845985642634e-06
544,3.689674485940486e-06
548,1.5257795894285664e-05
552,7.405054020637181e-06
556,5.456408416648628e-06
560,2.1379066765803145e-06
564,2.899105766118737e-06
568,5.4253700909612235e-06
572,1.0333053069189191e-05
576,1.766607238096185e-05
580,5.2916561799065676e-06
584,8.809079190541524e-06
588,1.327719019172946e-05
592,9.230162504536565e-06
596,1.1681535397656262e-05
600,1.559845077281352e-05
604,1.3717746696784161e-05
608,5.647438229061663e-06
612,5.923253411310725e-06
616,1.0002427188737784e-05
620,9.409756785316858e-06
624,5.298175437928876e-06
628,1.0289606507285498e-05
632,1.0359446605434641e-05
636,3.656901981230476e-06
640,5.336969479685649e-06
644,8.01237729319837e-06
648,4.66596839032718e-06
652,3.4553490877442528e-06
656,4.439600616024109e-06
660,4.213872216496384e-06
664,3.277044015703723e-06
668,5.3447147365659475e-06
672,4.562582034850493e-06
676,6.704137376800645e-06
680,4.276341769582359e-06
684,4.4293792598182335e-06
688,3.033157781828777e-06
692,2.5513782020425424e-06
696,3.922893938579364e-06
700,3.1564741220790893e-06
704,3.2700902465876425e-06
708,2.7246360332355835e-06
712,2.132545660060714e-06
716,2.7703947580448585e-06
720,3.76344951291685e-06
724,2.116011955877184e-06
728,3.718561856658198e-06
732,2.691630015760893e-06
736,2.0538066110020736e-06
740,2.468177171977004e-06
744,2.9488999189197784e-06
748,2.346512928852462e-06
752,2.4036180548137054e-06
756,3.1755927921039984e-05
760,1.7182470628540614e-06
764,3.042789103346877e-06
768,2.1957616809231695e-06
772,2.140770902769873e-06
776,2.7526273242983734e-06
780,1.7702352579362923e-06
784,1.8636670802152366e-06
788,2.313884124305332e-06
792,2.059647613350535e-06
796,1.8817934233084088e-06
800,1.9597430309659103e-06
804,1.9521739886840805e-06
808,2.2451702079706592e-06
812,1.8030829096460366e-06
816,1.6211000684052124e-06
820,1.9244669147155946e-06
824,1.9290637283120304e-06
828,1.7788422610465204e-06
832,2.0365705495350994e-06
836,2.332699068574584e-06
840,1.2197440355521394e-06
844,1.4827498944214312e-06
848,2.6013788101408863e-06
852,2.3538846107840072e-06
856,2.4240191123681143e-05
860,2.250579018436838e-05
864,1.7301473462794092e-06
868,2.294867044838611e-06
872,2.3895076992630493e-06
876,1.4801486031501554e-05
880,4.593056473822799e-06
884,2.019836529143504e-06
888,1.1071795597672462e-05
892,2.098355480484315e-06
896,3.953877239837311e-06
900,3.0664045880257618e-06
904,1.9008142544407747e-06
908,2.2625688416155754e-06
912,3.5345422020327533e-06
916,2.4581136131018866e-06
920,2.9181978788983542e-06
924,3.0470821457129205e-06
928,3.078060444750008e-06
932,2.69591441792727e-06
936,1.4432673651754158e-06
940,1.4914938901711139e-06
944,2.25688472710317e-06
948,2.0084689822397195e-06
952,2.1272617232170887e-06
956,1.6049040141297155e-06
960,1.254871904166066e-06
964,2.0046004465257283e-06
968,2.040088475041557e-06
972,1.7759647334969486e-06
976,2.233349277958041e-06
980,2.024257128141471e-06
984,1.0731220754678361e-05
988,1.556814027026121e-06
992,1.4143981843517395e-06
996,3.4403012705297442e-06
1000,2.447195811328129e-06
1004,7.268266472237883e-06
1008,4.110925146960653e-06
1012,2.514991592761362e-06
1016,4.427037310961168e-06
1020,3.2606831155135296e-06
1024,2.9199545679148287e-06
1028,2.8770166409231024e-06
1032,9.734606464917306e-06
1036,2.663158966242918e-06
1040,4.705351784650702e-06
1044,9.52719165070448e-06
1048,3.781089844778762e-06
1052,3.543128059391165e-06
1056,2.9627537969645346e-06
1060,3.427049023230211e-06
1064,3.3973979043366853e-06
1068,3.1927095278661e-06
1072,1.6429836477982462e-06
1076,1.6068635204646853e-06
1080,2.234529119959916e-06
1084,3.48938965544221e-06
1088,2.6742645786725916e-06
1092,1.7320448932878207e-06
1096,1.7663770677245338e-06
1100,1.663132479734486e-06
1104,1.2761476000378025e-06
1108,2.3231739305629162e-06
1112,2.5260046641051304e-06
1116,2.1592090888589155e-06
1120,2.1598098101094365e-06
1124,1.860142219811678e-06
1128,1.5125829122553114e-06
1132,1.3990243132866453e-06
1136,1.995686034206301e-06
1140,2.081564161926508e-06
