step,episode_reward
391,0.0
524,0.0
987,0.0
1691,10.0
1869,10.0
2414,10.0
3347,0.0
3666,0.0
4205,0.0
5205,0.0
5448,0.0
5949,0.0
6949,0.0
7853,10.0
7980,0.0
8389,10.0
9389,0.0
9510,0.0
9629,10.0
10304,0.0
10406,0.0
11406,0.0
11548,0.0
12548,0.0
13002,10.0
13651,10.0
14593,0.0
15593,0.0
15860,0.0
16008,10.0
16490,10.0
17295,0.0
17544,0.0
18544,0.0
19544,0.0
19630,0.0
20242,0.0
20763,0.0
21763,0.0
22000,0.0
22228,10.0
22747,0.0
23747,0.0
23967,10.0
24627,10.0
24697,0.0
24878,10.0
25198,0.0
25321,0.0
25626,0.0
25880,0.0
26248,0.0
26422,10.0
26512,0.0
26571,0.0
26934,0.0
27934,0.0
28186,10.0
29186,0.0
29253,0.0
29418,0.0
29599,0.0
29616,0.0
29734,10.0
29818,10.0
30484,10.0
31033,0.0
31210,0.0
32210,0.0
33210,0.0
33559,0.0
33607,0.0
33919,10.0
33938,0.0
34938,0.0
35205,10.0
35756,0.0
35861,10.0
36042,0.0
36164,10.0
36356,10.0
36682,10.0
36791,10.0
36875,10.0
36947,0.0
37107,0.0
37232,0.0
37617,10.0
37975,0.0
38146,10.0
38314,0.0
38377,10.0
38416,0.0
38461,0.0
38963,10.0
39156,0.0
39218,0.0
39446,10.0
39655,0.0
40655,0.0
40951,0.0
41021,10.0
42021,0.0
43021,0.0
43097,10.0
43422,10.0
44200,0.0
44361,10.0
45148,10.0
46148,0.0
46951,10.0
47951,0.0
48164,10.0
48267,0.0
48467,0.0
48617,10.0
49471,0.0
49545,0.0
50545,0.0
51156,10.0
51490,10.0
51607,0.0
52209,0.0
52226,0.0
52285,10.0
52417,0.0
52595,10.0
52650,0.0
52857,0.0
53296,0.0
53423,10.0
53607,10.0
54240,0.0
54287,0.0
55287,0.0
55693,10.0
55894,10.0
55942,10.0
56328,0.0
56350,0.0
56411,0.0
57411,0.0
57492,0.0
57581,0.0
58581,0.0
58614,0.0
58968,0.0
59968,0.0
60011,0.0
61011,0.0
61136,10.0
62136,0.0
62224,0.0
62826,10.0
63107,0.0
63299,10.0
63402,10.0
64402,0.0
64873,0.0
65149,0.0
65401,0.0
65527,0.0
66061,0.0
66213,10.0
66331,10.0
66863,10.0
67628,10.0
67744,10.0
67848,0.0
67906,10.0
68246,10.0
69246,0.0
69490,0.0
69759,10.0
69801,10.0
70801,0.0
70851,0.0
71064,10.0
71504,0.0
71553,0.0
71600,10.0
71998,10.0
72041,0.0
72082,10.0
72123,0.0
72156,0.0
72408,0.0
72969,10.0
73626,10.0
73925,0.0
74387,10.0
75387,0.0
75678,0.0
76678,0.0
77426,0.0
77577,10.0
77781,0.0
77893,0.0
78143,0.0
78470,0.0
78728,10.0
79085,0.0
79460,0.0
79916,0.0
80143,10.0
80182,0.0
80302,10.0
80698,10.0
81698,0.0
82085,10.0
82204,10.0
82369,10.0
83064,0.0
83277,0.0
83465,10.0
84465,0.0
84926,10.0
84983,10.0
85983,0.0
86892,0.0
87235,10.0
87275,10.0
87540,0.0
87599,0.0
87838,0.0
88838,0.0
89554,10.0
89895,0.0
90118,10.0
91118,0.0
92097,0.0
93097,0.0
94097,0.0
94383,0.0
94562,0.0
95562,0.0
96026,10.0
96357,0.0
96683,10.0
97683,0.0
98683,0.0
98858,0.0
98952,0.0
99107,0.0
99164,0.0
99195,0.0
99214,0.0
99364,0.0
99416,10.0
99534,0.0
99935,0.0
